chi2_Gem,chi2_Gemini,chi2_Shakespeare,chi2_ChatGPT,chi2_Claude,chi2_Copilot,chi2_Preplexity,delta_Gem,delta_Gemini,delta_Shakespeare,delta_ChatGPT,delta_Claude,delta_Copilot,delta_Preplexity,true_author
489.2304308301888,422.7813882015645,410.69031990876414,483.01009553850236,502.85103496968065,542.4044473856268,405.73370136860655,2.322790518361205,2.3933863599309118,2.171633787384233,2.0601201908580777,2.212990352587424,2.5408225119052,2.138051966359593,Preplexity
424.2638684047544,400.38625479641786,333.5202111072666,354.3101153360227,389.2123801272566,363.05550687959203,337.5503121382733,2.064306976117861,2.1900794474529364,1.9744584772920146,1.6984119451100606,2.072800102311486,2.069600432147587,1.7865018138026239,Preplexity
293.1165156401214,285.8258125108172,293.11742546783347,262.6673314545445,301.23064759493076,321.5665002109822,272.5100126220661,2.087073403620147,2.3119701361299914,2.029055422324855,2.1306814983623634,2.089033420890097,2.235861278539231,1.901427419338876,Preplexity
483.980373925722,390.753732695236,491.75046195333067,425.4316865798363,393.77229311750284,429.7315824529355,395.9410318313897,2.4490469665660153,2.576507980711802,2.439211546428253,2.428611295203808,2.4529178239677925,2.1972423966560664,2.4325966136374424,Preplexity
381.76592127245283,304.20630618036233,348.07840128680976,359.0750870580971,303.23068587996926,354.5073827207831,304.1340450702457,2.3796898801820956,2.4498773738767947,2.2905011154403496,2.0789682642836165,2.217632175653789,2.5474871876277407,2.1946811692808526,Preplexity
385.8172037101084,334.62998642573365,309.7911151197875,427.4173006477546,316.4338314620262,371.5161640938154,310.0051768699095,1.972633920628698,2.0260276572459186,1.618374878387973,1.6346666661497598,1.552258920759229,1.961302798037995,1.7207576537880271,Preplexity
441.20802333785554,330.45648498462816,238.00508001602725,442.0460995864767,336.21333104563263,473.29012516198685,328.49191926025725,2.4896016286391807,2.543609590773215,2.1873639861638803,2.320754593595555,2.4553582000746608,2.601036078233936,2.3281607535295987,Preplexity
294.16466974566924,320.1400328096202,320.366264221236,309.9396724593396,326.4689275274972,279.1185091103469,289.0478001980684,1.8449650126288373,1.8741668006601095,1.8381439062790605,1.3936081099331923,1.8851889764647773,1.785918013080948,1.578844841875463,Preplexity
388.0303083882198,325.57998150308504,388.7240127869044,390.46738283581755,332.3597622826214,406.9650541833214,336.25518234915853,3.084327952040036,3.0137347811352475,2.9742759944952017,2.8395735286910213,2.7460786190496203,2.9031641909533454,2.6038403220099773,Preplexity
336.24681362223726,280.56343737567056,288.09181606748126,357.6092975491724,277.68149703805784,462.19476000453886,334.3940963916368,2.2337030590765736,2.330710459333874,2.230826459842341,2.171374449243196,2.2188707852187557,2.330892483468467,2.4893577763801273,Preplexity
